,Title,Published_date,Views,Likes,Comments,Month
0,State of Data Science - Web Data,2022-08-05,7706,312,29,Aug
1,Data Science Town Hall - State of Data Science,2022-08-04,8456,348,38,Aug
2,How I Would Learn to Code (If I Had to Start Over) | Data Track,2022-07-29,6798,426,48,Jul
3,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,22855,1257,84,Jun
4,Can Machine Learning Fix My Baseball Swing?,2022-06-10,6283,307,68,Jun
5,Every Data Scientist... (funny!),2022-05-24,11829,701,141,May
6,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15515,426,65,May
7,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,32273,975,81,Apr
8,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,14278,641,97,Mar
9,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4353,183,51,Mar
10,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,9234,438,141,Feb
11,What Professional Data Scientists ACTUALLY Do,2022-02-14,76608,2664,174,Feb
12,Can You Analyze My Data Better Than I Can?,2022-01-31,6021,300,62,Jan
13,Giving Back to My Most Engaged Subscribers!,2022-01-28,2185,117,89,Jan
14,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,10781,531,65,Jan
15,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,7960,410,83,Jan
16,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,6281,175,32,Jan
17,The Only Data Science Explanation You Need,2022-01-10,25805,1464,160,Jan
18,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13576,630,142,Jan
19,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,264501,12051,466,Dec
20,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,7350,315,57,Dec
21,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,5873,398,21,Dec
22,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,21512,1066,151,Dec
23,Why Is Data Engineering So HOT Right Now?,2021-11-26,26539,1005,136,Nov
24,Is Data Science Dying?,2021-11-19,99338,3235,331,Nov
25,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7403,376,112,Nov
26,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3514,196,48,Nov
27,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,8667,241,31,Oct
28,ML Ops: What is it REALLY?,2021-10-22,4863,229,61,Oct
29,Business Skills for Data Science: What are they REALLY?,2021-10-18,6149,283,50,Oct
30,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2171,123,5,Oct
31,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5256,267,67,Oct
32,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,11601,508,112,Aug
33,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,7613,288,32,Aug
34,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,28005,1026,29,Aug
35,How I Learned to Learn.,2021-07-31,39235,1970,196,Jul
36,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,8103,464,49,Jul
37,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2346,93,30,Jul
38,Why are APIs Important for Data Science?,2021-07-09,8098,404,92,Jul
39,Is Your Phone REALLY Listening to You?,2021-07-03,4833,274,118,Jul
40,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,11147,496,121,Jun
41,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3721,196,38,Jun
42,#66DaysOfData - What is it? #shorts,2021-06-11,7569,331,53,Jun
43,A Quick Data Science Project Tip! #SHORTS,2021-06-03,14015,789,89,Jun
44,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7186,383,199,May
45,How Data Science Projects Pay Off,2021-05-22,9906,575,146,May
46,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9923,464,136,May
47,What is a lambda function (python)? #shorts,2021-05-13,10272,661,47,May
48,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,17404,789,57,May
